title,category,code,description_en,hierarchy_level,broader_concept_code,uri,broader_concept_uri,number_of_items
"library, information and archival studies",K,K3.2.2,"Library, information and archival studies is the study of the methods of selecting, acquiring, organizing and storing collections of information, and facilitating the use of information. Museum and library studies are included here.
Programmes and qualifications with the following main content are classified here:
Archival sciences
Curatorial studies
Documentation
Information science
Library studies
Museum documentation
Museum studies
Museology

=== Exclusions
Restoration and preservation of artistic heritage are excluded from this field and included in field 0222 'History and archaeology'.",3,K3.2,http://data.europa.eu/esco/isced-f/0322,http://data.europa.eu/esco/isced-f/032,10
journalism and information not elsewhere classified,K,K3.2.3,,3,K3.2,http://data.europa.eu/esco/isced-f/0329,http://data.europa.eu/esco/isced-f/032,0
"inter-disciplinary programmes and qualifications involving social sciences, journalism and information",K,K3.3,,2,K3,http://data.europa.eu/esco/isced-f/038,http://data.europa.eu/esco/isced-f/03,0
"inter-disciplinary programmes and qualifications involving social sciences, journalism and information",K,K3.3.0,"Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to social sciences, journalism and information are classified here.",3,K3.3,http://data.europa.eu/esco/isced-f/0388,http://data.europa.eu/esco/isced-f/038,0
"social sciences, journalism and information not elsewhere classified",K,K3.4,,2,K3,http://data.europa.eu/esco/isced-f/039,http://data.europa.eu/esco/isced-f/03,0
"social sciences, journalism and information not elsewhere classified",K,K3.4.0,,3,K3.4,http://data.europa.eu/esco/isced-f/0399,http://data.europa.eu/esco/isced-f/039,0
"business, administration and law",K,K4,,1,K,http://data.europa.eu/esco/isced-f/04,http://data.europa.eu/esco/skill/K,341
"business, administration and law not further defined",K,K4.0,,2,K4,http://data.europa.eu/esco/isced-f/040,http://data.europa.eu/esco/isced-f/04,0
"business, administration and law not further defined",K,K4.0.0,,3,K4.0,http://data.europa.eu/esco/isced-f/0400,http://data.europa.eu/esco/isced-f/040,0
business and administration,K,K4.1,,2,K4,http://data.europa.eu/esco/isced-f/041,http://data.europa.eu/esco/isced-f/04,228
business and administration not further defined,K,K4.1.0,,3,K4.1,http://data.europa.eu/esco/isced-f/0410,http://data.europa.eu/esco/isced-f/041,0
accounting and taxation,K,K4.1.1,"Accounting and taxation is the study of maintaining, auditing and recording financial transactions.
Programmes and qualifications with the following main content are classified here:
Accounting
Auditing
Bookkeeping
Tax accounting
Tax management

=== Exclusions
Study of tax laws is excluded from this detailed field and included in detailed field 0421 'Law'.",3,K4.1,http://data.europa.eu/esco/isced-f/0411,http://data.europa.eu/esco/isced-f/041,13
"finance, banking and insurance",K,K4.1.2,"Finance, banking and insurance is the study of planning, directing, organizing and controlling financial activities and services. It includes the control and monitoring of the financial resources of organizations, institutions and individuals, and the provision of financial services at the corporate and individual level.
Programmes and qualifications with the following main content are classified here:
Bank teller studies
Banking and finance
Finance theory
Insurance
Investment analysis
Investments and securities
Pension insurance
Social insurance
Stock-broking

=== Exclusions
Study of actuarial science is excluded from this detailed field and included in detailed field 0542 'Statistics'.",3,K4.1,http://data.europa.eu/esco/isced-f/0412,http://data.europa.eu/esco/isced-f/041,36
management and administration,K,K4.1.3,"Management and administration is the study of planning, directing and operating the functions and activities of organizations and institutions. Programmes in management also including administration, economics, finance etc. are included here if emphasis is given to management and administration.
Programmes and qualifications with the following main content are classified here:
Administration
Educational management
Employment management
Entrepreneurship
Health administration
Logistic management
Management science
Office management
Organizational theory and behaviour
Personnel administration
Personnel management
'Start your own business' courses
Supply change management
Training management

=== Inclusions:
Study of leadership in the context of management is included here.

=== Exclusions:
Training in leadership in the context of personal development is excluded from this detailed field and included in detailed field 0031 'Personal skills'.
Study of administration in the meaning of office work is excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'.",3,K4.1,http://data.europa.eu/esco/isced-f/0413,http://data.europa.eu/esco/isced-f/041,81
marketing and advertising,K,K4.1.4,"Marketing and advertising is the study of promoting the exchange processes of goods and services between organizations and/or individuals, and the study of consumer behaviour and requirements. It includes the study of the role of product development, pricing, distribution, promotion and sales in order to maximise business performance.
Programmes and qualifications with the following main content are classified here:
Advertising
Consumer behaviour
Market research
Marketing
Merchandising
Public relations",3,K4.1,http://data.europa.eu/esco/isced-f/0414,http://data.europa.eu/esco/isced-f/041,42
secretarial and office work,K,K4.1.5,"Secretarial and office work is the study of administrative procedures and practices, office technology and clerical, shorthand and keyboard skills. Specialised secretarial programmes (bilingual, medical, law, accounting etc) are included if the programme has secretarial work as its objective, rather than work as specialised assistants.
Programmes and qualifications with the following main content are classified here:
Administrative and secretarial services
Clerical programmes
Data entry
Foreign language secretary programmes
Keyboard skills
Legal secretary programmes
Medical secretary programmes
Operation of office equipment
Receptionist training
Secretarial programmes
Shorthand
Switchboard operating
Typing

=== Inclusions
Broad secretarial programmes comprising among other things computer courses are included here.

=== Exclusions
Separate programmes or qualifications in using a specific computer software are excluded from this detailed field and included under detailed field 0611 'Computer use'.
Office management is excluded from this detailed field and included in detailed field 0413 'Management and administration'.
Hotel receptionist programmes are excluded from this detailed field and included in detailed field 1013 'Hotel, restaurant and catering'.",3,K4.1,http://data.europa.eu/esco/isced-f/0415,http://data.europa.eu/esco/isced-f/041,4
wholesale and retail sales,K,K4.1.6,"Wholesale and retail sales is the study of buying and selling goods and services, including stock management, pricing practices, loss prevention, sales systems and procedures. It includes the study of the workings and current trends of the wholesale and retail industries. Selling of buildings and properties is also included.
Programmes and qualifications with the following main content are classified here:
Auctioneering
Consumer services
Demonstration techniques
Purchasing
Real-estate business
Retailing
Stock-keeping
Ware-housing
Wholesaling

=== Inclusions
Study of buying and selling buildings and properties is included here.",3,K4.1,http://data.europa.eu/esco/isced-f/0416,http://data.europa.eu/esco/isced-f/041,41
work skills,K,K4.1.7,"Work skills is the study of the structure and function of working life. It comprises programmes, mainly given as staff training, related to the working place and to work assignments.
Programmes and qualifications with the following main content are classified here:
Clients' needs
Company knowledge
Customer service training
'Introduction to work' courses
Organization at work
Quality assurance
Trade union courses (general)
Work development

=== Inclusions
Staff training related to the work place or work assignments is included here.

=== Exclusions
Training related to the work place or work assignments is excluded from this detailed field if it has more to do with personal development than work development and is included in detailed field 0031 'Personal skills'.
Staff training which can be classified to any other field is excluded from this detailed field and included in the appropriate field (e.g. quality courses should, if technical, be included in the detailed fields under 071 'Engineering and engineering trades'.)
Programmes in work environment should be included in detailed field 1022 'Occupational health and safety'.
Programmes, mostly at tertiary level, dealing with working life in general in terms of the labour market, the social partners, industrial psychology etc. are excluded from this detailed field and included in the detailed fields under 031 'Social and behaviour sciences'.",3,K4.1,http://data.europa.eu/esco/isced-f/0417,http://data.europa.eu/esco/isced-f/041,11
business and administration not elsewhere classified,K,K4.1.8,,3,K4.1,http://data.europa.eu/esco/isced-f/0419,http://data.europa.eu/esco/isced-f/041,0
law,K,K4.2,,2,K4,http://data.europa.eu/esco/isced-f/042,http://data.europa.eu/esco/isced-f/04,113
law,K,K4.2.0,"Law is the study of the principles and procedures for formally maintaining social order, including training for legal professions such as advocate or training for the judicial bench.
Programmes and qualifications with the following main content are classified here:
Commercial law
Criminal justice studies
History of law
Indigenous law
Jurisprudence
Labour law
Legal practice
Notary/Notary's practise
Paralegal studies

=== Exclusions
Court reporting programmes and legal secretary programmes are excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'.
Police studies are excluded from this detailed field and included in detailed field 1032 'Protection of persons and property'.",3,K4.2,http://data.europa.eu/esco/isced-f/0421,http://data.europa.eu/esco/isced-f/042,112
"inter-disciplinary programmes and qualifications involving business, administration and law",K,K4.3,,2,K4,http://data.europa.eu/esco/isced-f/048,http://data.europa.eu/esco/isced-f/04,0
"inter-disciplinary programmes and qualifications involving business, administration and law",K,K4.3.0,"Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to business, administration and law are classified here.

=== Inclusions
Study of business and administration where emphasis is not given towards any of the detailed fields under 041 is included in this field.

=== Exclusions
Business programmes where emphasis is given to any of the detailed fields under 041 'Business and administration' (management, administration, marketing etc.) should be classified according to the specialisation.",3,K4.3,http://data.europa.eu/esco/isced-f/0488,http://data.europa.eu/esco/isced-f/048,0
"business, administration and law not elsewhere classified",K,K4.4,,2,K4,http://data.europa.eu/esco/isced-f/049,http://data.europa.eu/esco/isced-f/04,0
"business, administration and law not elsewhere classified",K,K4.4.0,,3,K4.4,http://data.europa.eu/esco/isced-f/0499,http://data.europa.eu/esco/isced-f/049,0
"natural sciences, mathematics and statistics",K,K5,,1,K,http://data.europa.eu/esco/isced-f/05,http://data.europa.eu/esco/skill/K,236
"natural sciences, mathematics and statistics not further defined",K,K5.0,,2,K5,http://data.europa.eu/esco/isced-f/050,http://data.europa.eu/esco/isced-f/05,0
"natural sciences, mathematics and statistics not further defined",K,K5.0.0,,3,K5.0,http://data.europa.eu/esco/isced-f/0500,http://data.europa.eu/esco/isced-f/050,0
biological and related sciences,K,K5.1,,2,K5,http://data.europa.eu/esco/isced-f/051,http://data.europa.eu/esco/isced-f/05,79
biological and related sciences not further defined,K,K5.1.0,,3,K5.1,http://data.europa.eu/esco/isced-f/0510,http://data.europa.eu/esco/isced-f/051,0
biology,K,K5.1.1,"Biology is the study of the structure, function, reproduction, growth, evolution and behaviour of all living organisms.
Programmes and qualifications with the following main content are classified here:
Biology
Botany
Cell biology
Entomology
Genetics
Mycology
Zoology

=== Exclusions
Study of environmental sciences, which is the study of the relation between living organisms and the environment, is excluded from this detailed field and included in detailed field 0521 'Environmental sciences'. Study of chemical processes in living organisms (biochemistry, toxicology, pharmacology etc.) is excluded from this detailed field and included in detailed field 0512 'Biochemistry'.",3,K5.1,http://data.europa.eu/esco/isced-f/0511,http://data.europa.eu/esco/isced-f/051,61
biochemistry,K,K5.1.2,"Biochemistry, sometimes called Biological chemistry, is the study of the chemistry of living organisms, including but not limited to, living matter.
Programmes and qualifications with the following main content are classified here:
Biological chemistry
Cell technology
Forensic sciences
Genetic code (DNA, RNA) studies
Genetic engineering
Pharmacology
Tissue culture technology
Toxicology
Virology

=== Inclusions
Biotechnology is included here.",3,K5.1,http://data.europa.eu/esco/isced-f/0512,http://data.europa.eu/esco/isced-f/051,16
biological and related sciences not elsewhere classified,K,K5.1.3,,3,K5.1,http://data.europa.eu/esco/isced-f/0519,http://data.europa.eu/esco/isced-f/051,0
environment,K,K5.2,,2,K5,http://data.europa.eu/esco/isced-f/052,http://data.europa.eu/esco/isced-f/05,15
environment not further defined,K,K5.2.0,,3,K5.2,http://data.europa.eu/esco/isced-f/0520,http://data.europa.eu/esco/isced-f/052,0
environmental sciences,K,K5.2.1,"Environmental sciences are the study of organisms in relation to one another and to the environment.
Programmes and qualifications with the following main content are classified here:
Ecology
Environmental science

=== Exclusions
The study of biology and toxicology are excluded from this detailed field and included under narrow field 051 'Biological and related sciences'.",3,K5.2,http://data.europa.eu/esco/isced-f/0521,http://data.europa.eu/esco/isced-f/052,10
natural environments and wildlife,K,K5.2.2,"Natural environments and wildlife is the study of the relationships between living organisms in natural environments in order to protect nature and wildlife. It includes the study of establishing and maintaining national parks in order to preserve their original natural state.
Programmes and qualifications with the following main content are classified here:
National parks and wildlife management
Nature conservation
Wildlife

=== Exclusions
Study of agriculture, horticulture and forestry are excluded from this detailed field and included in some of the detailed fields under 08 'Agriculture, forestry, fisheries and veterinary'.
Study of hunting and trapping is excluded from this detailed field and included in detailed field 0821 'Forestry'.",3,K5.2,http://data.europa.eu/esco/isced-f/0522,http://data.europa.eu/esco/isced-f/052,5
environment not elsewhere classified,K,K5.2.3,,3,K5.2,http://data.europa.eu/esco/isced-f/0529,http://data.europa.eu/esco/isced-f/052,0
physical sciences,K,K5.3,,2,K5,http://data.europa.eu/esco/isced-f/053,http://data.europa.eu/esco/isced-f/05,119
physical sciences not further defined,K,K5.3.0,,3,K5.3,http://data.europa.eu/esco/isced-f/0530,http://data.europa.eu/esco/isced-f/053,0
chemistry,K,K5.3.1,"Chemistry is the study of substances and their elements and how they react when combined.
Programmes and qualifications with the following main content are classified here:
Inorganic chemistry
Organic chemistry
Physical chemistry

=== Exclusions
Biochemistry is excluded from this detailed field and included in detailed field 0512 'Biochemistry'.",3,K5.3,http://data.europa.eu/esco/isced-f/0531,http://data.europa.eu/esco/isced-f/053,51
earth sciences,K,K5.3.2,"Earth sciences is the study of the composition and structure of earth including the hydrosphere and the atmosphere.
Programmes and qualifications with the following main content are classified here:
Climate research
Earth science
Geodesy
Geography (physical)
Geology
Geomatics
Geospatial technology
Meteorology
Oceanography
Seismology

=== Exclusions
Social geography is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'. Soil science is excluded from this detailed field and included in detailed field 0811 'Crop and livestock production'.",3,K5.3,http://data.europa.eu/esco/isced-f/0532,http://data.europa.eu/esco/isced-f/053,31
physics,K,K5.3.3,"Physics is the study of properties and interactions of matter and energy. It includes the study of astronomy and space science.
Programmes and qualifications with the following main content are classified here:
Astronomy
Astrophysics
Chemical physics
Medical physics
Optics
Physics
Space science

=== Exclusions
Opticians' practice is excluded from this detailed field and included in detailed field 0914 'Medical diagnostic and treatment technology'.",3,K5.3,http://data.europa.eu/esco/isced-f/0533,http://data.europa.eu/esco/isced-f/053,37
physical sciences not elsewhere classified,K,K5.3.4,,3,K5.3,http://data.europa.eu/esco/isced-f/0539,http://data.europa.eu/esco/isced-f/053,0
mathematics and statistics,K,K5.4,,2,K5,http://data.europa.eu/esco/isced-f/054,http://data.europa.eu/esco/isced-f/05,23
mathematics and statistics not further defined,K,K5.4.0,,3,K5.4,http://data.europa.eu/esco/isced-f/0540,http://data.europa.eu/esco/isced-f/054,0
mathematics,K,K5.4.1,"Mathematics is the study of abstract deductive systems. It includes algebra, arithmetic, geometry, real and complex analysis and pure and applied mathematics.
Programmes and qualifications with the following main content are classified here:
Algebra
Geometry
Mathematics
Numerical analysis
Operational research",3,K5.4,http://data.europa.eu/esco/isced-f/0541,http://data.europa.eu/esco/isced-f/054,12
statistics,K,K5.4.2,"Statistics is the study of collecting, describing, arranging and analysing numerical data. The study of probability theory and actuarial science is included.
Programmes and qualifications with the following main content are classified here:
Actuarial science
Probability theory
Statistics, applied
Survey design
Survey sampling

=== Inclusions
Study of mathematical (theoretical) statistics is included here.

=== Exclusions
Demography/population studies is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'.",3,K5.4,http://data.europa.eu/esco/isced-f/0542,http://data.europa.eu/esco/isced-f/054,11
"inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics",K,K5.5,,2,K5,http://data.europa.eu/esco/isced-f/058,http://data.europa.eu/esco/isced-f/05,0
"inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics",K,K5.5.0,"Inter-disciplinary or broad programmes and qualifications to which the greatest intended learning time is devoted to natural sciences, mathematics and statistics are classified here.",3,K5.5,http://data.europa.eu/esco/isced-f/0588,http://data.europa.eu/esco/isced-f/058,0
"natural sciences, mathematics and statistics not elsewhere classified",K,K5.6,,2,K5,http://data.europa.eu/esco/isced-f/059,http://data.europa.eu/esco/isced-f/05,0
"natural sciences, mathematics and statistics not elsewhere classified",K,K5.6.0,,3,K5.6,http://data.europa.eu/esco/isced-f/0599,http://data.europa.eu/esco/isced-f/059,0
information and communication technologies (icts),K,K6,,1,K,http://data.europa.eu/esco/isced-f/06,http://data.europa.eu/esco/skill/K,295
information and communication technologies (icts),K,K6.0,,2,K6,http://data.europa.eu/esco/isced-f/061,http://data.europa.eu/esco/isced-f/06,295
information and communication technologies (icts) not further defined,K,K6.0.0,,3,K6.0,http://data.europa.eu/esco/isced-f/0610,http://data.europa.eu/esco/isced-f/061,0
computer use,K,K6.0.1,"Computer use is the study of using computers and computer software and applications for different purposes. These programmes are generally of short duration.
Programmes and qualifications with the following main content are classified here:
Computer use
Use of software for calculating (spread sheets)
Use of software for data processing
Use of software for desk top publishing
Use of software for word processing
Use of Internet",3,K6.0,http://data.europa.eu/esco/isced-f/0611,http://data.europa.eu/esco/isced-f/061,41
database and network design and administration,K,K6.0.2,"Database and network design and administration is the study of the design, maintenance and integration of software applications. Computer media applications are included.
Programmes and qualifications with the following main content are classified here:
Computer administration and management
Computer media applications
Computer network installation and maintenance
Database administrator studies
Information technology administration
Information technology security
Network administration
Network design
Web design",3,K6.0,http://data.europa.eu/esco/isced-f/0612,http://data.europa.eu/esco/isced-f/061,104
software and applications development and analysis,K,K6.0.3,"Software and applications development and analysis is the study of the design and development of computer systems and computing environments.
Programmes and qualifications with the following main content are classified here:
Computer programming
Computer science
Computer systems analysis
Computer systems design
Informatics
Operating systems
Programming languages development
Software development
Software programming

=== Exclusions
Computer engineering (hardware) is excluded from this detailed field and included in detailed field 0714 'Electronics and automation'.
Programmes and qualifications in using computer applications are excluded from this detailed field and included in detailed field 0611 'Computer use'. Database and network design and administration is excluded from this detailed field and included in detailed field 0612 'Database and network design and administration'.",3,K6.0,http://data.europa.eu/esco/isced-f/0613,http://data.europa.eu/esco/isced-f/061,148
information and communication technologies not elsewhere classified,K,K6.0.4,"Information technology studies not fitting in the detailed fields are classified here:
Artificial intelligence",3,K6.0,http://data.europa.eu/esco/isced-f/0619,http://data.europa.eu/esco/isced-f/061,2
inter-disciplinary programmes and qualifications involving information and communication technologies (icts),K,K6.1,,2,K6,http://data.europa.eu/esco/isced-f/068,http://data.europa.eu/esco/isced-f/06,0
inter-disciplinary programmes and qualifications involving information and communication technologies (icts),K,K6.1.0,Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to information and communication technologies (ICTs) are classified here.,3,K6.1,http://data.europa.eu/esco/isced-f/0688,http://data.europa.eu/esco/isced-f/068,0
"engineering, manufacturing and construction",K,K7,,1,K,http://data.europa.eu/esco/isced-f/07,http://data.europa.eu/esco/skill/K,794
"engineering, manufacturing and construction not further defined",K,K7.0,,2,K7,http://data.europa.eu/esco/isced-f/070,http://data.europa.eu/esco/isced-f/07,0
"engineering, manufacturing and construction not further defined",K,K7.0.0,,3,K7.0,http://data.europa.eu/esco/isced-f/0700,http://data.europa.eu/esco/isced-f/070,0
engineering and engineering trades,K,K7.1,,2,K7,http://data.europa.eu/esco/isced-f/071,http://data.europa.eu/esco/isced-f/07,378
engineering and engineering trades not further defined,K,K7.1.0,,3,K7.1,http://data.europa.eu/esco/isced-f/0710,http://data.europa.eu/esco/isced-f/071,1
chemical engineering and processes,K,K7.1.1,"Chemical engineering and processes is the study of planning, designing, and developing products and processes where chemical and physical changes occur. It includes designing chemical plants and control systems.
Programmes and qualifications with the following main content are classified here:
Chemical engineering
Chemical process engineering
Laboratory technology
Oil/gas/petrochemicals processing
Plant and machine operation (processing)
Process technology

=== Inclusions
Laboratory technology is included here if emphasis is not given to a specific application.

=== Exclusions
Laboratory technology is excluded from this detailed field if emphasis is given to a specific application (biological, medical, etc.) and is included under the appropriate detailed field (0914 etc.). Biotechnology is excluded from this detailed field and included in detailed field 0512 'Biochemistry'.
Programmes and qualifications with emphasis on the production of a specific material are excluded from this detailed field (e.g. studies with emphasis on paper processing should be included in detailed field 0722 'Materials (glass, paper, plastic, wood)'.",3,K7.1,http://data.europa.eu/esco/isced-f/0711,http://data.europa.eu/esco/isced-f/071,44
environmental protection technology,K,K7.1.2,"Environmental protection technology is the study of processes in order to minimise discharge and waste and avoid pollution. It includes programmes dealing with control of water, air, soil etc.
Programmes and qualifications with the following main content are classified here:
Air pollution control
Ecological technology
Energy efficiency
Environmental engineering
Industrial discharge control
Noise pollution control
Recycling
Water pollution control

=== Exclusions
Programmes and qualifications dealing with hygienic standards in food, water etc. are excluded from this detailed field and included in detailed field 1021 'Community sanitation'.
Construction related to waste and water management is excluded from this detailed field and included in detailed field 0732 'Building and civil engineering'.",3,K7.1,http://data.europa.eu/esco/isced-f/0712,http://data.europa.eu/esco/isced-f/071,14
electricity and energy,K,K7.1.3,"Electricity and energy is the study of installing, maintaining, repairing and diagnosing faults in electrical wiring and related equipment in domestic, commercial and industrial establishments. Installation and maintenance of overhead and underground electrical power distribution networks is included. Energy is the study of energy generation.
Programmes and qualifications with the following main content are classified here:
Air-conditioning trades
Climate engineering
Electrical appliances repairing
Electrical engineering
Electrical fitting
Electrical power generation
Electrical trades
Energy studies
Gas distribution
Heating trades
Nuclear, hydraulic and thermal energy
Power line installation and maintenance
Power production
Refrigeration
Solar power
Wind turbines

=== Inclusions
The study of installing, diagnosing faults in and repairing heating, air-conditioning and refrigeration equipment is included here.

=== Exclusions
Study of vehicle electrical systems is excluded from this detailed field and included in detailed field 0716 'Motor vehicles, ships and aircraft'.",3,K7.1,http://data.europa.eu/esco/isced-f/0713,http://data.europa.eu/esco/isced-f/071,66
electronics and automation,K,K7.1.4,"Electronics and automation is the study of planning, designing, developing maintaining and monitoring electronic equipment, machinery and systems. It includes designing computers and equipment for communication.
Programmes and qualifications with the following main content are classified here:
Broadcasting electronics
Communication systems
Communications equipment installation
Communications equipment maintenance
Computer engineering
Computer repairing
Control engineering
Data processing technology
Digital technology
Electronic engineering
Electronic equipment servicing
Network technology
Robotics
Telecommunications technology
Television and radio repairing

=== Exclusions
Computer science (Software and applications development) is excluded from this detailed field and included under 0613 'Software and applications development and analysis'.",3,K7.1,http://data.europa.eu/esco/isced-f/0714,http://data.europa.eu/esco/isced-f/071,71
mechanics and metal trades,K,K7.1.5,"Mechanics and metal trades is the study of planning, designing, developing, producing, maintaining and monitoring machines, mechanical plants and systems and metal products. It includes designing and maintaining machines which produce goods and services. The focus of study in this detailed field is machines, mechanical systems and metal products.
Programmes and qualifications with the following main content are classified here:
Gunsmithing
Hydraulics
Locksmithing and safe repairing
Mechanical engineering
Mechanical trades
Metal casting and patternmaking
Metal fitting, turning and machining
Metallurgical engineering
Precision mechanics
Sheet metal working
Steel production
Tool and die making
Welding

=== Exclusions
The study of motor vehicle mechanics and engineering is excluded from this detailed field and included in detailed field 0716 'Motor vehicles, ships and aircraft'.",3,K7.1,http://data.europa.eu/esco/isced-f/0715,http://data.europa.eu/esco/isced-f/071,131
"motor vehicles, ships and aircraft",K,K7.1.6,"Motor vehicles, ships and aircraft is the study of designing, developing, producing, maintaining, diagnosing faults in, repairing and servicing motor vehicles, including earth moving equipment and agriculture machines, ships, trains and aircraft. Typical is the combination of studies in both metal structures and motors.
Programmes and qualifications with the following main content are classified here:
Aerospace engineering
Aircraft engineering
Aircraft maintenance
Automotive electrical systems
Automotive engineering
Avionics
Coachwork
Marine engineering
Motorcycle engineering
Panel beating
Shipbuilding
Train repair and maintenance
Vehicle building and repairing
Vehicle varnishing/spraying

=== Inclusions
Study of vehicle electrical systems is included here.

=== Exclusions
Study of producing and repairing non-motorised vehicles is excluded from this detailed field and included in 0715 'Mechanics and metal work' (e.g. bicycles) or 0722 'Materials (glass, paper, plastic, wood)' (e.g. non-motor boats).",3,K7.1,http://data.europa.eu/esco/isced-f/0716,http://data.europa.eu/esco/isced-f/071,42
engineering and engineering trades not elsewhere classified,K,K7.1.7,"Engineering studies not covered by other detailed fields are classified here:
Nanotechnology",3,K7.1,http://data.europa.eu/esco/isced-f/0719,http://data.europa.eu/esco/isced-f/071,9
manufacturing and processing,K,K7.2,,2,K7,http://data.europa.eu/esco/isced-f/072,http://data.europa.eu/esco/isced-f/07,328
manufacturing and processing not further defined,K,K7.2.0,,3,K7.2,http://data.europa.eu/esco/isced-f/0720,http://data.europa.eu/esco/isced-f/072,0
food processing,K,K7.2.1,"Food processing is the study of processing and packaging of food and beverages, and the equipment and procedures used in the production and distribution of foods.
Programmes and qualifications with the following main content are classified here:
Baking
Beer brewing
Butchery
Confectionery
Dairy foods
Food and drink processing
Food preservation
Food science and technology
Meat processing
Pastry cooking
Tobacco processing
Wine production

=== Inclusions
Study of food handling and food hygiene is included here.

=== Exclusions
Restaurant and catering are excluded from this detailed field and included in detailed field 1013 'Hotel, restaurant and catering'.
Nutrition science is excluded from this detailed field and included in narrow field 051 'Biological and related sciences'.
0722 Materials (glass, paper, plastic and wood)
Materials is the study of the manufacturing of products in glass, paper, plastic, wood or other materials like stone, clay, artificial materials etc. Programmes and qualifications included in this detailed field have more to do with a specific material than general technical knowledge.
Programmes and qualifications with the following main content are classified here:
Boat building (non-motor)
Cabinet making
Carpentry (furniture)
Ceramics (industrial)
Furniture making
Glass working (industrial)
Industrial diamond production
Paper manufacturing and processing
Plastic manufacturing
Rubber processing
Timber technology
Wood machining and turning
Woodwork trades

=== Exclusions
Study of metal work is excluded from this detailed field and included in detailed field 0715 'Mechanics and metal trades'.
Study of building carpentry and joinery is excluded from this detailed field and included in detailed field 0732 'Building and civil engineering'.
Study of chemical processing in general is excluded from this detailed field and included in detailed field 0711 'Chemical engineering and processes'.
Study of printing and bookbinding is excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'.
Handicrafts programmes (glass arts and crafts, woodcarving etc) are excluded from this detailed field and included in detailed field 0214 'Handicrafts'.
0723 Textiles (clothes, footwear and leather)
Textiles (clothes, footwear and leather) is the study of the manufacture of textiles, textile and leather products, clothing and related items, shoes and other forms of footwear.
Programmes and qualifications with the following main content are classified here:
Clothing trades
Dressmaking
Footwear making
Fur making
Garment production
Leather processing
Saddlery
Shoemaking
Skins and leather production
Spinning
Tailoring
Textile trades
Upholstery
Weaving (industrial)
Wool science

=== Exclusions
Handicrafts studies (weaving, embroidery etc.) are excluded from this detailed field and included in detailed field 0214 'Handicrafts'.",3,K7.2,http://data.europa.eu/esco/isced-f/0721,http://data.europa.eu/esco/isced-f/072,141
"materials (glass, paper, plastic and wood)",K,K7.2.2,,3,K7.2,http://data.europa.eu/esco/isced-f/0722,http://data.europa.eu/esco/isced-f/072,89
"textiles (clothes, footwear and leather)",K,K7.2.3,,3,K7.2,http://data.europa.eu/esco/isced-f/0723,http://data.europa.eu/esco/isced-f/072,81
mining and extraction,K,K7.2.4,"Mining and extraction is the study of assessing, planning, developing, and directing the extraction of minerals, oil and gas from the earth.
Programmes and qualifications with the following main content are classified here:
Coal mining
Mineral technology
Mining of minerals
Oil and gas drilling
Oil and gas extraction
Raw material extraction

=== Exclusions
Study of metallurgical engineering is excluded from this detailed field and included in 0715 'Mechanics and metal trades'
Study of geology is excluded from this detailed field and included in detailed field 0532 'Earth sciences'.",3,K7.2,http://data.europa.eu/esco/isced-f/0724,http://data.europa.eu/esco/isced-f/072,13
manufacturing and processing not elsewhere classified,K,K7.2.5,,3,K7.2,http://data.europa.eu/esco/isced-f/0729,http://data.europa.eu/esco/isced-f/072,4
architecture and construction,K,K7.3,,2,K7,http://data.europa.eu/esco/isced-f/073,http://data.europa.eu/esco/isced-f/07,86
architecture and construction not further defined,K,K7.3.0,,3,K7.3,http://data.europa.eu/esco/isced-f/0730,http://data.europa.eu/esco/isced-f/073,0
architecture and town planning,K,K7.3.1,"Architecture is the study of the art, science and techniques of building design. It encompasses both utilitarian ends - such as the soundness of the structure and the functional and economic efficiency of the building - and aesthetic considerations. Town planning is the study of the regulated growth and improvement of towns in both functional and aesthetical points of view.
Programmes and qualifications with the following main content are classified here:
Architectural urban design and planning
Architecture
Building design
Cartography/Land surveying
City planning
Community development
Landscape architecture
Structural architecture
Surveying
Town and country planning
Urban planning

=== Exclusions
Study of interior design is excluded from this detailed field and included in detailed field 0212 'Fashion, interior and industrial design'. Geomatics is excluded from this detailed field and included in detailed field 0532 'Earth science'.
The laying out and construction of parks and gardens is excluded from this detailed field and included in detailed field 0812 'Horticulture'.",3,K7.3,http://data.europa.eu/esco/isced-f/0731,http://data.europa.eu/esco/isced-f/073,25
